timestamp,arbitration_id,extended,remote,error,dlc,data
0.7,0x50e,0,0,0,8,AAAAAAAAAAA=
0.728,0x10c,0,0,0,8,AQCAAAAAAAA=
0.791,0x12c,0,0,0,8,AggAAHAXAAA=
0.799,0x19f,0,0,0,8,AAAAAHkoAAA=
0.899,0x50f,0,0,0,8,eCgqAHYFYAA=
0.918,0x12d,0,0,0,8,AACIE+AuAQA=
1.0,0x1a7,0,0,0,8,AACcGAgARBY=
1.139,0x12a,0,0,0,8,EAAAAAACAAA=
1.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
1.6,0x310,0,0,0,8,AQACAAAAAAA=
1.699,0x50e,0,0,0,8,AAAAAAAAAAA=
1.728,0x10c,0,0,0,8,AQCAAAAAAAA=
1.79,0x12c,0,0,0,8,AggAAHAXAAA=
1.8,0x19f,0,0,0,8,AAAAAHgoAAA=
1.899,0x50f,0,0,0,8,eCg3AHcFYAA=
1.919,0x12d,0,0,0,8,AACIE+AuAQA=
2.0,0x1a7,0,0,0,8,AACcGAgARBY=
2.139,0x12a,0,0,0,8,EAAAAAACAAA=
2.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
2.6,0x310,0,0,0,8,AQACAAAAAAA=
2.699,0x50e,0,0,0,8,AAAAAAAAAAA=
2.727,0x10c,0,0,0,8,AQCAAAAAAAA=
2.788,0x12c,0,0,0,8,AggAAHAXAAA=
2.8,0x19f,0,0,0,8,AAAAAHkoAAA=
2.899,0x50f,0,0,0,8,eSgsAHUFYAA=
2.918,0x12d,0,0,0,8,AACIE+AuAQA=
2.999,0x1a7,0,0,0,8,AACcGAgARBY=
3.138,0x12a,0,0,0,8,EAAAAAACAAA=
3.179,0x10b,0,0,0,8,BQ8AAAAAAAA=
3.6,0x310,0,0,0,8,AQACAAAAAAA=
3.7,0x50e,0,0,0,8,AAAAAAAAAAA=
3.729,0x10c,0,0,0,8,AQCAAAAAAAA=
3.788,0x12c,0,0,0,8,AggAAHAXAAA=
3.799,0x19f,0,0,0,8,AAAAAHgoAAA=
3.899,0x50f,0,0,0,8,eCgxAHUFYAA=
3.918,0x12d,0,0,0,8,AACIE+AuAQA=
3.999,0x1a7,0,0,0,8,AACcGAgARBY=
4.14,0x12a,0,0,0,8,EAAAAAACAAA=
4.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
4.599,0x310,0,0,0,8,AQACAAAAAAA=
4.7,0x50e,0,0,0,8,AAAAAAAAAAA=
4.728,0x10c,0,0,0,8,AQCAAAAAAAA=
4.787,0x12c,0,0,0,8,AggAAHAXAAA=
4.799,0x19f,0,0,0,8,AAAAAHkoAAA=
4.9,0x50f,0,0,0,8,eCgxAHcFYAA=
4.921,0x12d,0,0,0,8,AACIE+AuAQA=
4.999,0x1a7,0,0,0,8,AACcGAgARBY=
5.137,0x12a,0,0,0,8,EAAAAAACAAA=
5.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
5.6,0x310,0,0,0,8,AQACAAAAAAA=
5.7,0x50e,0,0,0,8,AAAAAAAAAAA=
5.73,0x10c,0,0,0,8,AQCAAAAAAAA=
5.792,0x12c,0,0,0,8,AggAAHAXAAA=
5.799,0x19f,0,0,0,8,AAAAAHkoAAA=
5.899,0x50f,0,0,0,8,eCguAHUFYAA=
5.927,0x12d,0,0,0,8,AACIE+AuAQA=
6.0,0x1a7,0,0,0,8,AACcGAgARBY=
6.139,0x12a,0,0,0,8,EAAAAAACAAA=
6.178,0x10b,0,0,0,8,BQ8AAAAAAAA=
6.582,0x8192a3b,1,0,0,8,AAAAAAAAAAA=
6.6,0x310,0,0,0,8,AQACAAAAAAA=
6.699,0x50e,0,0,0,8,AAAAAAAAAAA=
6.73,0x10c,0,0,0,8,AQCAAAAAAAA=
6.79,0x12c,0,0,0,8,AggAAHAXAAA=
6.799,0x19f,0,0,0,8,AAAAAHkoAAA=
6.899,0x50f,0,0,0,8,eSgwAHQFYAA=
6.92,0x12d,0,0,0,8,AACIE+AuAQA=
6.999,0x1a7,0,0,0,8,AACcGAgARBY=
7.099,0x10000201,1,0,0,8,AwICAAAAAwA=
7.141,0x12a,0,0,0,8,EAAAAAACAAA=
7.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
7.2,0x10000202,1,0,0,8,AAAAAAAAAAA=
7.299,0x10000203,1,0,0,8,HgADADgPeSg=
7.4,0x10000204,1,0,0,8,UijR/3cFYAA=
7.499,0x10000205,1,0,0,8,AQBkZGRkAAA=
7.502,0x10000206,1,0,0,8,AABEFpwY7BM=
7.505,0x10000207,1,0,0,8,AAAAAM8PAAA=
7.508,0x10000208,1,0,0,8,AAAAAAAAAAA=
7.599,0x310,0,0,0,8,AQACAAAAAAA=
7.699,0x50e,0,0,0,8,AAAAAAAAAAA=
7.727,0x10c,0,0,0,8,AQCAAAAAAAA=
7.788,0x12c,0,0,0,8,AggAAHAXAAA=
